0.038 0.056 0.044 0.034 0.01
0.014 0.034 0.032 0.028 0.026
0.02 0.036 0.064 0.034 0.05
0.04 0.038 0.028 0.01 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0.022 0.048
0.056 0.03 0.008 0.008 0.002
0 0 0.014 0.03 0.036
0.064 0.034 0.006 0.002 0.004
0.008 0.048 0.054 0.036 0.018
0.022 0.026 0.03 0.048 0.032
0.026 0.048 0.048 0.076 0.046
0.026 0.026 0.012 0.006 0
0 0 0 0 0.136
0.032 0 0 0 0
0 0 0 0 0.018
0.016 0.044 0.036 0.018 0.004
0.002 0 0 0.008 0.044
0.04 0.052 0.014 0.012 0.004
0.012 0.032 0.036 0.042 0.026
